date,time,city,Area,reporters occupation,description,country
04-Aug-97,21:30,Lancaster,,,"Two independent bright, white lights. Both lights were moving fast and were heading North.",Lancashire
04-Aug-97,22:30,Bampton,,,"One rectangular shaped object. It had three bright lights, and a red light at the rear. It lifted straight up.",Oxfordshire
05-Aug-97,20:00,North Weald,,,"One object which was diamond shaped. Was black in colour with green edges. It was high in the sky, about 700ft, and moving at a very fast speed.",Essex
05-Aug-97,21:23,Addlestone,,,There was a burning light going across the sky. It was like a fireball and vapourised after about 10-15 seconds.,Surrey
05-Aug-97,22:50,Wisbech,,,"A bright orange sphere. In the centre, it was paler. Half moon shaped wings. The object descended rapidly, moved across the horizon and then suddenly disappeared.",Norfolk
05-Aug-97,09:05,Deal,,,A circular ball of white light. It was the brightness of a star. It was silent. It dropped down very fast and then blinked out.,Kent
06-Aug-97,22:05,Bridgehall/Stockport,,,"One large, very bright, white light. It was followed by a smaller white light. They were moving North East.",Cheshire
06-Aug-97,22:05,Rochdale,,,"One large bright light, which was then followed by a smaller light. It moved from the South West to East.",Cheshire
06-Aug-97,22:10,Darnhill/Heywood,,,"One large white light, followed by a smaller light. It came from a Westerly direction.",Lancashire
06-Aug-97,21:50,Woking,,,One object shaped like a horizontal cylinder. It was aircraft size. Was white in colour and very bright. It was hovering.,Surrey
06-Aug-97,03:00,Hale,,,"A very bright star. The star came towards the witness, lit up the whole area and then went back in the direction it had come from.",Greater Manchester
06-Aug-97,,St Ives,,,"A large, saucer shaped object. It was the size of a hot air balloon, with two pods on either side and a central bright light/firey glow.",Cornwall
06-Aug-97,22:40,Glasgow,,,A pair of stars appeared to be moving in an Easterly direction. They moved almost in a straight line.,Lanarkshire
07-Aug-97,16:00,Whitby,,,A circular object that was spinning and glinting. It was moving from East to West very fast.,North Yorkshire
07-Aug-97,22:03,Northwich,,,"One bright, white light in the sky.",Cheshire
07-Aug-97,22:40,West Ewell,,,One object that was a greenish colour. It then turned red and was very bright. There was erratic movement. It moved very quickly backwards and forwards creating a 'W',Surrey
08-Aug-97,23:30,Abergavenny,,,"Oefnfeec ot.b  ject, that was bigger than a car. It was white and very bright. It came down the road.",Monmouthshire
08-Aug-97,23:30,Kingstown,,,"Two objects, both the size of a saloon car. Both were very bright. They were bouncing about all over the sky.",London
08-Aug-97,01:15,A69/Durham,,,Two lights in the sky. They were yellow/orange in colour. They moved in various directions - straight lines and curved lines and definite turns.,Durham
08-Aug-97,21:30,Ripon,,,"A bright circular light. It was stationary for 40 minutes, and then it started to move slowly.",North Yorkshire
09-Aug-97,14:00,Southsea/Portsmouth,,,Twenty five to thirty small metallic objects. The objects were very high and moving very fast.,Hampshire
09-Aug-97,21:50,Dorking,,,"One object. Yellow and red in colour. It was stationary and then made erratic movements. It was going backwards, up and down and kept changing speed.",Surrey
09-Aug-97,21:45,Leeds,,,Three objects. They looked round. They were white and all as bright as a star. The objects moved from East to West and back to East again.,West Yorkshire
09-Aug-97,21:32,Staines,,,"One, star like shaped object. It had a bright, white light. Brighter than any star. The object moved to the right and then upwards.",Middlesex
09-Aug-97,18:26,Solihull,,,"Two objects, which were star shaped. Looked like a metal colour. They were drifting across the sky.",West Midlands
09-Aug-97,21:25,Wilmslow,,,"A bright light in the sky. It disappeared quickly, leaving a glow behind.",Cheshire
09-Aug-97,18:00,Molesey nr Hampton Ct,,,One object. Was angular. It was moving Eastwards and was rising in the sky.,Surrey
09-Aug-97,23:00,Ashford,,,Two fighter jet sized objects. Looked a bit like normal aircraft. They were pale and glowing pink. Were moving from West to East very fast.,Middlesex
10-Aug-97,02:30,Taunton,,,"One bright yellow light. It looked similar to a street lamp. It rose and kept rising, until it disappeared into a black hole in the sky.",Somerset
11-Aug-97,20:15,Muswell Hill,,,"There was a white dancing light, within some red and green lights, in a triangular shaped object. It was roughly stationary with some horizontal movement.",London
11-Aug-97,22:00,Pembury,,,"A luminous, triangular shaped object that was hovering in the sky. There were four other luminous objects flying near it. The first object, then disappeared.",Kent
11-Aug-97,09:30,Culham/Abingdon,,,"One object, white and very bright. Was about 10ft above the ground. It circled the witness twice and then disappeared.",Oxfordshire
11-Aug-97,,Cardiff,,,"One shooting star. It zig-zagged across the sky, and then it disappeared.",Glamorgan
12-Aug-97,,Tunbridge Wells,,,"An object, much bigger than a star. Looked like a large apple. It exploded and sparkled like a firework and then fizzled out.",Kent
12-Aug-97,21:20,,,,"A white flash in the sky, repeating about every five minutes, about four times. It got brighter and then the last time, it looked like a very bright ball in the sky.",
12-Aug-97,22:20,Bletchley/Milton Keynes,,,"An object, the size of a golf ball was seen at 3-4000ft. It was very bright and yellow in colour. It moved over the witnesses house at high speed.",Buckinghamshire
12-Aug-97,00:45,Leicester,,,"One large, round object. Was white and very bright. It was moving from right to left and then back again, quickly. There was a low humming noise.",Leicestershire
12-Aug-97,01:00,Corsham,,,"A triangular shaped object. It had two red lights on the rear. On the front was a white light, but it didn't give off a beam of light. A second object joined it and they moved off at",Wiltshire
12-Aug-97,21:00,Stourbridge,,,Ofabsjte scpt eloeodk. ed triangular and moved in a manner similar to a 'jelly fish'. It was moved in an Easterly direction.,West Midlands
12-Aug-97,17:30,Cumbran nr Newport,,,"A small triangular shaped object. It had black wings, and was sausage shaped in the middle. It was moving very fast.",Gwent
13-Aug-97,19:45,Rutherglen/Glasgow,,,"A black, disk shaped object. It was low in the sky and was pulsating. It was moving in a straight line and then climbed vertically.",Lanarkshire
13-Aug-97,21:00,Oxford,,,"One large, orange, saucer shaped object. It was very bright. The object was moving downwards in the sky.",Oxfordshire
13-Aug-97,23:50,Marston/Oxford,,,"One, round shaped object. It had red and white bits on it, that were glistening. Was very bright. It moved in a straight line, then landed at the witnesses feet.",Oxfordshire
13-Aug-97,23:10,Feltham,,,"A circular blue light contained within an object, the size of a double decker bus. It moved slowly without noise and then disappeared.",Middlesex
14-Aug-97,22:00,Newington/Ramsgate,,,"One object, as large as a B747. It was triangular/V-shaped. Was orange in colour. Brightness was brighter than aircraft navigation lights.",Kent
14-Aug-97,21:00,Great Yarmouth,,,"Four spherical objects, that were green on top and red and white at the bottom. Very bright. They made erratic movements and it was like an aerial ballet in the sky.",Norfolk
14-Aug-97,00:00,Northampton,,,"Three red, green and white flashing lights. They moved faster than a plane. They flew along, stopped and then carried on.",Northamptonshire
14-Aug-97,22:00,Ramsgate,,,"A black, triangle shaped object, with three orange lights. It was the size of a jumbo jet. The object moved as fast as a jet aircraft.",Kent
15-Aug-97,12:00,Fraserburgh,,,"A singular, round, flat bodied, shiny object. The object approached the witnesses boat for a short period and then returned to it's original position.",Aberdeenshire
15-Aug-97,15:45,Erdington/Birmingham,,,"One, round shaped object. It was silvery white. It was going in a North Easterly direction.",West Midlands
15-Aug-97,01:10,Birmingham,,,"One, circular shaped object. It was blue in colour and quite bright. It was moving in an Easterly direction.",West Midlands
15-Aug-97,22:00,Ashton upon Mersey,,,"One, circular, red, blue and white object. It was brighter than a star. It moved in a triangular/diamond shaped pattern.",Greater Manchester
15-Aug-97,00:35,Edinburgh,,,"A round, bright object. It had flashing blue, red and white lights. It was slow moving.",Fife
16-Aug-97,22:30,Aston Clinton,,,"One object, about two inches square. It was red and very bright. It went into the witnesses house through the window and moved around the living room.",Buckinghamshire
16-Aug-97,21:40,Leeds,,,"One, round shaped object. It had a strobe light, that was white with a red tint. Was dimmer than a star. Object was very high up and the strobe light was very fast.",West Yorkshire
16-Aug-97,23:10,Knottingley,,,A sequence of red/blue lights in a sort of 'spiral effect'.,North Yorkshire
16-Aug-97,09:50,Bletchley/Milton Keynes,,,"A black triangle, smaller than an airliner, but faster. It had a large wingspan with triangular indentations at trailing edges.",Buckinghamshire
17-Aug-97,21:18,Grouville/Jersey,,,"Two white lights, similar in brilliance. The second light was half the size of the first light. They disappeared over the horizon.",Channel Islands
17-Aug-97,22:49,Staithes,,,"Two, slow moving lights. The two lights kept together, descended slowly, then rose at the same speed. This happened three times. The lights then just disappeared.",Cleveland
17-Aug-97,02:30,Kelso,,,An oval object. It had a green light in the centre and was glowing orange. There was a rushing wind sound. Was going faster than a jet.,Roxburghshire
17-Aug-97,00:25,Knottingley,,,"Four separate white lights, which then changed to red. There were points of light that were very bright. They were moving North East.",North Yorkshire
18-Aug-97,01:16,Rawmarsh nr Rotherham,,,A light aircraft that was silent. It had a beam of light coming down from it. It circled the Rawmarsh area and then vanished.,South Yorkshire
18-Aug-97,21:30,Raunds,,,"One blue, disc shaped object, the size of an aircraft. Was about 45000ft high.",Northamptonshire
21-Aug-97,23:00,Cowlinge,,,"A circular object, about 30-40 foot across. The lights on the object were spaced approximately 1-2 ft apart. It moved up and away to the left before disappearing.",Norfolk
21-Aug-97,,Blacon nr Chester,,,"There was one large circular object, with two smaller ones beside it. The larger one kept moving from side to side.",Cheshire
21-Aug-97,21:00,Edinburgh,,,"One very large object. Was red, green and yellow in colour. It was very bright. It moved very fast Westwards and then disappeared.",Fife
22-Aug-97,21:20,Edinburgh,,,"One large, circle shaped object in the sky. It was eight times bigger than a triangular shaped object that followed afterwards.",Fife
25-Aug-97,22:30,Birchwood/Lincoln,,,"A bright light, it glowed and then became smaller. It was high in the sky.",Lincolnshire
25-Aug-97,22:00,Paignton,,,A star shaped object. It was very high. It moved in an 'inhuman way' on a curved path. Slowed down and then disappeared into outer space.,Devon
26-Aug-97,02:00,Trowbridge,,,One 20 inch circular object. It had red and green lights and was very vivid. The object was moving Westwards.,Wiltshire
29-Aug-97,07:55,A1 nr Stamford,,,One balloon like object. It was crossing over the AI from West to East and was moving very fast.,Cambridgeshire
30-Aug-97,20:50,Ben Lomond,,,A comet with a fiery trail. It was red at the end. The trail was quite short. It was seen Westwards going down.,Stirlingshire
30-Aug-97,22:12,Arborfield/Reading,,,"The witness saw a hovering red light, with a strong white light coming from it.",Berkshire
30-Aug-97,00:45,Aberdeen,,,"Four roundish lights, single bed size. White and fairly bright. The lights moved in a small circle at evenly spaced intervals. Then they rotated in a clockwise direction.",Aberdeenshire
04-Sep-97,20:00,Heighington/Lincoln,,,"A five pointed star, about four times bigger than a star. It was very bright, and lit up the whole sky. It moved along the sky and appeared to get higher and then picked up",Lincolnshire
05-Sep-97,02:15,Brighton,,,"Ospneee dtr.i a ngular shaped object, airliner 747 size. It was white, with red lights flashing on and off underneath. Was very bright. It was flying straight and level.",East Sussex
07-Sep-97,20:50,Grassington,,,"A bright object, similar size to a star. It was a lot brighter though. The object began to zig zag erratically across the sky at high speed and then disappeared over the valley.",North Yorkshire
07-Sep-97,03:11,Barking,,,"One large object. Similar shape to an aeroplane. It had bright, white lights along the bottom. A very loud aircraft noise. It was miles away, but then shot over the town at a",Essex
07-Sep-07,21:47,Crawley,,,"vAe crylu hstigehr  osfp leigehdt.s ,   that were flashing green, red and orange. They were ball shaped. There was static in the air. They made erratic movements.",West Sussex
07-Sep-07,22:20,Mynydd Caerau,,,"One round object, with a white light. It also had flashing/rotating blue and red lights. It moved up and down.",Glamorgan
07-Sep-07,20:30,Tamworth,,,One small rocket shaped object. It was dark and dull. It was going fast and was moving straight up.,West Midlands
08-Sep-07,23:00,Erdington/Birmingham,,,Five orb and triangle shaped objects. One of them was white and the rest were red. They were bright. They were moving Southwards.,West Midlands
08-Sep-07,03:50,Brooksby Village,,,"One small, oval shaped object. It was white with blue and red lights. The brightness was glaring. It hovered, then disappeared behind a church.",Leicestershire
09-Sep-97,06:40,Matlock,,,Two silver objects which formed the letter H. They were bright. They were moving slowly in a straight line.,Derbyshire
12-Sep-97,03:30,Peterborough,,,"A white bumble bee shaped object, with lights all over. It was 1000ft high and was moving very fast.",Cambridgeshire
14-Sep-97,22:20,Colby Corner nr Walsham,,,"A single light to the naked eye. When seen through binoculars, there was a group of coloured lights moving around. Lights were moving around each other.",Norfolk
14-Sep-97,11:30,Chalfont St Giles,,,"One ball shape object, with indentations on the top. Was white and bright. It was higher than a normal aircraft. It was slow and steady and went upwards.",Buckinghamshire
14-Sep-97,22:00,Dover,,,"A bright silver object, with red and green lights at the back. It changed to an egg shape, went bright yellow and then vanished. Moved quickly across the sky.",Kent
18-Sep-97,07:37,Altrincham,,,A flashing/revolving light. It was white. Was slow moving above the horizon.,Cheshire
18-Sep-97,18:20,Winchelsea Beach,,,"A disc shaped object, with a 20ft wing span. Was flying in controlled circular motions.",East Sussex
19-Sep-97,21:00,B4011/A418 Thame,,,Two circular shaped objects. They were rotating in a cloud of smoke. They were very bright. The object was spinning and following the witnesses car.,Oxfordshire
20-Sep-97,23:05,Maidstone,,,"One object, 20 times the size of a jumbo jet. It was bird shaped, and very bright orange in colour. It was moving in a straight line, banking from left to right.",Kent
21-Sep-97,01:15,Werrington/Peterborough,,,"Two revolving lights that were moving around each other. They were flashing at different speeds. Were 200-500ft in the sky, and moving from East to West.",Cambridgeshire
21-Sep-97,23:00,Chalfont St Peter,,,"One oval shaped object, eight times larger than a star. It was white and yellow in colour and very bright. It was South West in the sky.",Buckinghamshire
21-Sep-97,01:44,Cauldon Lowe,,,A circular or oval shaped object. Was mauve/silver in colour. The craft was illuminated in some way. It was travelling at a very high speed from left to right.,Staffordshire
22-Sep-97,21:56,Bodicote nr Banbury,,,"A flying saucer, with red, green and gold lights. It had been hovering.",Oxfordshire
22-Sep-97,02:30,Acton,,Policeman,"One round object. Bigger than a star. White and bright. It moved horizontally, from South to East at very high speed. It was similar to a shooting star.",West London
23-Sep-97,08:57,Kilmarnock,,,"One meteorite. Had a fiery tail. Quite big. Was moving in a straight line, and heading West.",Ayrshire
01-Oct-97,11:50,Brize Norton area,,,There were two objects glinting in the sun. One object was following the other.,Oxfordshire
01-Oct-97,04:45,Brongest,,,"Three round, star sized objects, in a triangular formation. They circled around each other, and then went back to their original position. White and very bright. They were",Dyfed
02-Oct-97,02:30,Bretton/Peterborough,,,mOnoevi ngglo Swoinugth li.g  ht with a short trail. Was at a 45 degree angle. About 20000ft in the sky.,Cambridgeshire
02-Oct-97,20:19,Townhill/Swansea,,,"One round shaped object. Red, orange and green in colour and bright. The object was stationary.",West Glamorgan
02-Oct-97,20:45,Leven,,,"Three or four red lights. One was larger in size, and was 3ft by 3ft. They moved very fast.",Fife
03-Oct-97,20:55,Oswestry,,,"One saucer shaped object, with a swirling spiral of white/grey luminous light. The lights turned blue and then back to their original colour. It moved towards the witnesses",Shropshire
04-Oct-97,18:16,Chippenham,,,"wOinned socbrjeeecnt,,  laanrgde trh tehna ns pae pde orsffo ant.  hFiglaht  lsikpee ead p. laying card, no depth. Looked like two legs hanging from it. Dark, but there was a glimmer at the rear. It disappeared due East.",Wiltshire
05-Oct-97,20:45,Salisbury,,,"The object was circular and then changed to a triangular shape. Was white, red and green in colour and light. Was about 35,000ft up.",Wiltshire
05-Oct-97,19:50,Coupar Angus/Blairgowrie,,,"One ball of fire, with a tail. Was orange coloured. It was above the horizon quite far away, but dropping down.",Perthshire
05-Oct-97,20:47,Palmers Green,,,"Two spherical, pinky red, illuminated objects. They were going from SW to NE. Three thousand feet high. Were travelling at a fast speed of  approximately 1500-2000 mph.",North London
06-Oct-97,22:17,Stantonbury,,,"Six or seven, small round shaped objects, in a line. They had red lights on them. They came from the West and then moved to the East slowly, then departed at speed.",Buckinghamshire
07-Oct-97,13:00,Lochans/Stranraer,,,"One bright, white star. Was moving from East to West and very fast.",Dumfriesshire
07-Oct-97,19:55,Crowle,,,"A semi-circle of six to seven red lights, that were sixty to seventy yards apart. They maintained level height.",Lincolnshire
07-Oct-97,19:55,Hull,,,A triangle formation of flashing red lights. They were moving from West to East at a constant speed.,East Yorkshire
07-Oct-97,19:00,Sandtoft Airfield,,,A delta formation of Eleven to thirteen flashing red lights. They were moving slowly from South East to North West.,Lincolnshire
07-Oct-97,19:03,Raynham,,,"A very bright orange ball. Was silent, with a dim, flashing white light. It moved very slowly and smoothly to the East.",Norfolk
07-Oct-97,21:45,River Humber/Brough,,,"Two objects, but not seen together. There was a bright light at random intervals. The light was bigger than the stars. The objects zig zagged across the sky on a continual",East Yorkshire
10-Oct-97,19:30,River Humber/Brough,,,"Oflignhet  dpiaamtho. n d shaped object seen, with a bright light in the centre of the undercarriage. The object travelled from West to East in a straight line.",East Yorkshire
10-Oct-97,19:25,Newsham Park/Liverpool  Mersexy,,,"A bright, white star. It was 70,000ft high and was moving in a straight line. Was too fast, to be an aircraft.",Merseyside
13-Oct-97,21:20,Bury,,,"A bright, white light. It eventually moved Southwards, towards Saddleworth.",Lancashire
13-Oct-97,18:50,Walton-on-Thames,,,One star shaped object. White in colour. It moved from South West to North East.,Surrey
14-Oct-97,01:05,Scunthorpe,,,A fire ball. It was approximately 35 degrees from horizontal. It made a steady downwards movement.,Lincolnshire
18-Oct-97,22:30,Great Munden/Ware,,,"A large, wide bell shaped object. It had white lights. Was approximately 15ft off the ground and 25ft to 30ft long.",Hertfordshire
18-Oct-97,19:20,Grimsby,,,"Three triangular shaped objects, which were amber in colour. They were travelling quite fast. They were overtaking each other. The objects moved Westwards until they",North East Lincolnshire
21-Oct-97,10:30,Batley,,,"dAi ssailpvepre adroemde.   i n the sky, above the clouds. The sunlight was reflecting off it. It skimmed above the clouds.",West Yorkshire
21-Oct-97,23:55,Leighton Village,,,"One triangular shaped object. It was 40ft in size. It had orange and green lights along the edges. Not very bright, but was pulsating. Was moving downwards and made a",Shropshire
21-Oct-97,19:45,Morris Grange/Richmond,,,hAupmprmoxinimg antoeilsye 3. 0   to 40 small white lights. They were moving erratically.,North Yorkshire
22-Oct-97,19:45,Hutton Magna/Richmond,,,Six objects that looked like 'Fancy rats'. Were green and white in colour. They made circular patterns in the sky.,North Yorkshire
22-Oct-97,02:49,Caernarfon,,,"One object that had four lights on it. The lights were green, white, red and blue. The object was spinning in the sky.",Caernarfonshire
24-Oct-97,15:00,Harrogate,,,Two white objects. They were motionless in the sky. They then started drifting slowly to the East.,North Yorkshire
25-Oct-97,16:30,Camberwell,,,An object was hovering in the sky. It then moved up and down and from side to side. It had bright lights.,Surrey
28-Oct-97,19:30,Stafford,,,"One, very big, round shaped object. Was green, red and yellow in colour. It had lights that looked like a normal aircraft's lights. It moved North, hovered and then slowly",Staffordshire
28-Oct-97,16:45,Kirby Wiske,,,mOnoeve sdta arw sahya.p  ed object. Was orange and very bright. The object was moving South West.,North Yorkshire
28-Oct-97,20:10,Madley nr Crewe,,,"One triangular shaped object. Larger than a normal aircraft. It had three lights and one of them was red. It was stationary at first, but moved quickly away.",Cheshire
29-Oct-97,21:00,Covenham Resevoir,,,Two very large craft. Yellow/golden in colour. There was a hovercraft type noise. 30 lights per craft and they were arranged in horizontal and vetical patterns. They stopped,Lincolnshire
29-Oct-97,21:00,Dawley nr Telford,,,"aTnhdre teh eonb jmecotvse ind  aa wtraiayn qguuilcakrl yfo. rmation. They were white, and one of them was bright. The lights were stationary and then split up and went in different directions.",Shropshire
29-Oct-97,18:00,Newport,,,"Two objects. They both looked like a triangular shape of lights. Both objects were a dull amber colour. They made, fast and erratic movements and then disappeared.",Shropshire
30-Oct-97,20:30,Dawley nr Telford,,,There was an object that had a light at either end. There was a flashing white light that was very bright. It made constant turning movements and then erratic movements.,Shropshire
31-Oct-97,19:05,Hanwell,,,"One triangular shaped object, similar size to an airliner. It was black in colour. It was moving in a North Westerly direction.",Middlesex
31-Oct-97,11:45,Marske By The Sea,,,"Cylindrical object, with a dome on it. 2000ft high in the sky.",North Yorkshire
04-Nov-97,18:00,A39/Minehead,,,A circle of light appeared on the witness's bonnet. The electrics were lost for a short time.,Somerset
05-Nov-97,19:45,Blackpool,,,"A big red ball, that floated slowly to the ground.",Lancashire
06-Nov-97,18:35,Whitecrook/Glasgow,,,"A grey, saucer shaped object. It was spinning. It hovered and then shot straight up.",Lanarkshire
06-Nov-97,19:45,Strathmartin,,,"One black object, which had blue lights on it.",Angus
06-Nov-97,21:20,Arncroach,,,"One, large, circular, white ball. Was very bright. Was moving East and going very fast.",Fife
09-Nov-97,21:50,Stretford,,,"One, white, star shaped object. Very bright. It was moving East.",Greater Manchester
11-Nov-97,21:45,Newark,,,"An 'A' frame, shaped object. Was moving North East over Newark and was very high in the sky.",Nottinghamshire
12-Nov-97,04:13,M55/Kirkham,,,"Two lights that were stationary. Then there were a further three lights in a triangle formation, with a red strobe observed in the centre.",Lancashire
12-Nov-97,23:55,Watchet,,,"At first, it looked like a very bright spot of light, but after a while, it became a stack of four different coloured lights.",Somerset
12-Nov-97,20:00,A1/Scotch Corner,,,"Two large, red triangles. They were stationary.",County Durham
13-Nov-97,18:45,Stoke-on-Trent,,Pilot,"One object, large, undiscernible shape. Was white: like ""white hot"". It was descending.",Staffordshire
13-Nov-97,20:00,Bo'ness,,,Two bright lights were hovering. The object swooped down and then hovered just above ground level and then rose up into the sky.,Central
19-Nov-97,17:25,Livingston,,,"One glowing white and orange, round object. It moved up, down and around, and then moved in a Westerly direction.",West Lothian
22-Nov-97,18:20,Bideford,,,"One ball shaped object, that was mainly yellow, with a red side light. Was very bright. It had a tail. It moved upwards, then started falling.",Devon
22-Nov-97,17:00,Northampton,,,"A round, spinning, silver object. It had white lights round it, with red circular lights inbetween them. It moved slowly.",Northamptonshire
22-Nov-97,05:00,Beckenham,,,"One, round shaped object. Had red, green and blue colours and was very bright. Was moving East.",Kent
22-Nov-97,00:04,Bredenbury,,,"One, round shaped object. Green and dim. Was moving West and then fell from the sky at a steady rate.",Herefordshire
22-Nov-97,18:32,Brixham,,,"A shadow of a delta winged aircraft, moved across the stars. It had a steady pink light on the front, and two at the back. Was silent.",Devon
24-Nov-97,18:15,Preston,,,"A green, star shaped object.",Lancashire
25-Nov-97,18:00,Grove Park,,,"A huge light in the sky, with a smaller light above it. The light went on and off three times, then disappeared.",London
30-Nov-97,17:27,Bridgend,,,"One large, circular object. White and very bright. The object was moving backwards and forwards.",Mid Glamorgan
30-Nov-97,18:03,Ingleby,,,One bright light. Not high enough to be a star.,Derbyshire
30-Nov-97,22:30,Fauldhouse/Edinburgh,,,"An orange, green and yellow object. The object was flying low and erratically.",West Lothian
30-Nov-97,17:30,Stirling,,,"Eight, bright orange objects, like stars - pinpricks. They split into four and then reformed. They were moving fast from left to right.",Stirlingshire
01-Dec-97,20:34,Hull,,,A streak of light was seen. It went in a straight direction and then faded out.,Humberside
01-Dec-97,20:35,Pocklington,,,"It was a light, with sparks coming from the rear. It was heading for the ground.",East Yorkshire
01-Dec-97,20:56,Houghton,,,"A bright, circular light, at approximately - 1000 feet above the ground. It had a short tail and was silent. Was travelling about 500mph.",Norfolk
01-Dec-97,,Rosyth,,,"A single object. It changed colours - from purple, red, yellow and green. The object appeared stationary for long periods, then disappeared.",Fife
02-Dec-97,02:27,Middleton,,,Twelve semi-circular shaped craft flying in formation. They were flying from North to South.,Staffordshire
03-Dec-97,05:30,Harrow,,,"A white light was travelling at high speed, in a South-Westerly direction. It circled the moon and then disappeared.",Middlesex
04-Dec-97,20:22,,,,Two jet sized objects. They had red lights and one white light. Very bright. There was a rushing sound. Flying West and very slow.,Devon
04-Dec-97,20:35,Whorlton,,,"Stationary white light. It appeared to be rotating, with rays coming from it. Was moving East.",County Durham
05-Dec-97,02:09,8 Miles West,,Pilot,"A bright, circular red light. About 3mm in diameter, relative to cockpit windscreen. Was moving in a Westerly direction.",Isle of Anglesey
08-Dec-97,23:37,Walthamstow,,,Triangular shaped object. It was hovering in the sky.,East London
11-Dec-97,21:45,Elgin,,,Bright orange light. Object was moving West. It was low on the horizon.,Morayshire
14-Dec-97,17:20,South Raynham,,,"Very bright, white light. The shade changed. Also, looked like a gas cloud. About 6-7,000ft high. Was moving South-West.",Norfolk
18-Dec-97,20:10,Newmilns,,,"Circle of red lights with a purple centre. They were far away, and then got closer.",Ayrshire
19-Dec-97,08:20,3-4 Miles/Heathrow,,Pilot,"One object, like a parachute or flying-wing shape. It was dark green.",Middlesex
25-Dec-97,19:45,Froxfield,,,"One very large, disc shaped object. Red, white and blue colours. Was bright, but got duller as you got nearer. Possibly burning.",Wiltshire
27-Dec-97,17:30,Craigshill/Livingston,,,Two huge explosions - very bright light. No sound though. Miles high and directly above.,West Lothian
28-Dec-97,19:48,Over Malby,,Pilot and Co. Pilot,"One object, very bright. Colours were changing in sequence - white, yellow and red. UFO remained near aircraft's 10 o'clock and then disappeared.",Co. Clare/Ireland
29-Dec-97,02:40,Bletchingley,,,"One object, no bigger than a star. White and very bright, and brighter than a star. The object was moving South-West.",Surrey
29-Dec-97,10:50,Over Nottingham,,Pilot,"Single spherical object, approx. 5-7 feet in diameter. Metallic, high gloss finish, but with signs of grime on underside. A machined appearance.",Nottinghamshire
30-Dec-97,13:09,Exeter,,,"A red, yellow, fiercely burning ball of fire, with embers falling off. It looked the size of two dinner plates, with tennis balls falling off, and burning out.",Devon
04-Jan-99,18:30,Folkestone,,,Squashed oval shaped object. Did not have the usual aircraft lights on it.,Kent
04-Jan-99,06:45,Bournemouth,,,"One disc shaped object, no indication of size. There were two bright, blue flashing lights on it.",Dorset
07-Jan-99,18:30,Glanarfon,,,"One flat, triangular object, (like a shield), white in colour. Coloured lights mainly round the edge of the craft. Spotlight beneath.",Wales
09-Jan-99,22:00,Bolton,,,"One main object, blue, red and white.",Lancashire
09-Jan-99,02:00,The Rhondda,,,"One large oval, with a sphere in the middle. Had bright blue, green and white lights on top of the craft. There was a humming noise.",Mid Glamorgan
09-Jan-99,01:20,Dukinfield,,,"One or two round, star sized objects were seen. They were multi coloured.",Cheshire
09-Jan-99,21:37,Dunbar,,,"One light, with red, green and yellow alternating lights on it.",East Lothian
09-Jan-99,21:46,Kennoway,,,"One sphere, that was alternating in colours - red, white, green and blue.",Fife
10-Jan-99,01:30,Llanelli,,,"One object, a pinprick of light changing colour between red, green and orange.",Dyfed
10-Jan-99,10:07,Hednesford,,,"Like a bright star, with red, green and blue lights flashing in it. Hovering silently.",Staffordshire
10-Jan-99,21:54,West Kilbride,,,Bright multi coloured light in the sky.,Ayrshire
11-Jan-99,01:30,Ballater,,,"Two objects, four times larger than the largest star and round like a glitter ball. They had blue, red and green lights on them.",Aberdeenshire
11-Jan-99,01:15,Holyhead,,,"Bright light, larger than a star, changing colours, from white to orange, blue and green and back again. Appeared to be moving slowly.",Merseyside
12-Jan-99,09:15,Cambuslong,,,"Bright light, like a star.",Lanarkshire
12-Jan-99,05:55,Shoreham-by-Sea,,,"Two objects, oval shaped and bright white. Then later, another two objects that looked the same, appeared.",West Sussex
17-Jan-99,06:20,Hanworth,,,Flashes of light came through the bedroom window. A bright star-like object was then seen outside.,Middlesex
21-Jan-99,20:45,Corwen,,,"Flying saucer shape, with three square like windows, like a house. Was light - got lighter, then dimmed. Slightly tilted.",Denbighshire
21-Jan-99,21:00,Harleston,,,"One large, L - shaped object. Was very bright.",London
22-Jan-99,00:30,Shrewsbury,,,White light with shimmering green and red lights.,Shropshire
26-Jan-99,,Henbury/Bristol,,,Bright orange light.,Somerset
28-Jan-99,,Shipston-on-Stour,,,"Looked like an aeroplane, (had wings, but no propellers). It was silent with red and blue lights on it. Was hovering above the tree tops.",Warwickshire
01-Feb-99,15:10,Bramley,,,One object with grey/white tubular fins at both ends.,West Yorkshire
02-Feb-99,17:25,Swansea,,,Cross shaped collection of five star like objects. Gold coloured lights.,West Glamorgan
02-Feb-99,18:00,North Finchley,,,Two opaque spheres. The two objects were chasing each other around.,London
02-Feb-99,01:30,Hull,,,"Round in shape. Coloured red, green, blue, white and yellow.",Humberside
04-Feb-99,00:20,M56 towards Chester,,,"One, circular object, very dark with four permanent red lights and three to four pulsating lights.",Cheshire
05-Feb-99,01:30,Brighton,,,"One round object, with a very bright, white light. Was hovering like a yo-yo.",East Sussex
05-Feb-99,,Chiswick,,,"Five, six or seven unusual light objects. Moving in all different directions.",London
